コード,ランキング,都道府県,市区町村,人口,男,女
011002,4,北海道,札幌市,"1,956,928","915,082","1,041,846"
012025,110,北海道,函館市,"240,218","109,343","130,875"
012033,267,北海道,小樽市,"106,507","48,187","58,320"
012041,76,北海道,旭川市,"320,436","148,621","171,815"
012050,356,北海道,室蘭市,"76,519","36,851","39,668"
012068,171,北海道,釧路市,"157,519","74,072","83,447"
012076,165,北海道,帯広市,"162,460","77,538","84,922"
012084,255,北海道,北見市,"111,740","53,252","58,488"
012092,1361,北海道,夕張市,"6,411","3,032","3,379"
012106,363,北海道,岩見沢市,"75,522","35,270","40,252"
012114,706,北海道,網走市,"32,846","16,129","16,717"
012122,946,北海道,留萌市,"18,695","9,042","9,653"
012131,161,北海道,苫小牧市,"166,846","81,829","85,017"
012149,739,北海道,稚内市,"30,946","15,308","15,638"
012157,937,北海道,美唄市,"18,976","9,021","9,955"
012165,1145,北海道,芦別市,"11,571","5,331","6,240"
012173,227,北海道,江別市,"118,686","56,361","62,325"
012181,1251,北海道,赤平市,"8,741","3,974","4,767"
012190,913,北海道,紋別市,"20,260","9,519","10,741"
012203,986,北海道,士別市,"16,869","8,060","8,809"
012211,834,北海道,名寄市,"25,376","12,348","13,028"
012220,1301,北海道,三笠市,"7,465","3,423","4,042"
012238,870,北海道,根室市,"23,006","11,008","11,998"
012246,287,北海道,千歳市,"97,999","49,794","48,205"
012254,653,北海道,滝川市,"37,309","17,670","19,639"
012262,1020,北海道,砂川市,"15,520","7,207","8,313"
012271,1599,北海道,歌志内市,"2,668","1,274","1,394"
012289,944,北海道,深川市,"18,764","8,725","10,039"
012297,917,北海道,富良野市,"19,949","9,442","10,507"
012301,578,北海道,登別市,"44,451","21,260","23,191"
012319,396,北海道,恵庭市,"70,354","34,217","36,137"
012335,725,北海道,伊達市,"31,822","14,788","17,034"
012343,470,北海道,北広島市,"56,903","27,211","29,692"
012351,466,北海道,石狩市,"57,645","27,890","29,755"
012360,590,北海道,北斗市,"43,660","20,557","23,103"
013030,1030,北海道,石狩郡当別町,"15,286","7,479","7,807"
013048,1586,北海道,石狩郡新篠津村,"2,808","1,350","1,458"
013315,1390,北海道,松前郡松前町,"6,030","2,855","3,175"
013323,1544,北海道,松前郡福島町,"3,467","1,623","1,844"
013331,1516,北海道,上磯郡知内町,"3,898","1,912","1,986"
013340,1527,北海道,上磯郡木古内町,"3,644","1,703","1,941"
013374,797,北海道,亀田郡七飯町,"27,544","12,759","14,785"
013439,1534,北海道,茅部郡鹿部町,"3,570","1,689","1,881"
013455,1081,北海道,茅部郡森町,"13,865","6,471","7,394"
013463,1046,北海道,二海郡八雲町,"14,779","7,336","7,443"
013471,1455,北海道,山越郡長万部町,"4,817","2,278","2,539"
013617,1338,北海道,檜山郡江差町,"6,820","3,280","3,540"
013625,1493,北海道,檜山郡上ノ国町,"4,254","1,982","2,272"
013633,1545,北海道,檜山郡厚沢部町,"3,405","1,628","1,777"
013641,1552,北海道,爾志郡乙部町,"3,249","1,480","1,769"
013676,1630,北海道,奥尻郡奥尻町,"2,269","1,198","1,071"
013706,1472,北海道,瀬棚郡今金町,"4,623","2,230","2,393"
013714,1331,北海道,久遠郡せたな町,"6,948","3,285","3,663"
013919,1689,北海道,島牧郡島牧村,"1,286",633,653
013927,1597,北海道,寿都郡寿都町,"2,694","1,335","1,359"
013935,1606,北海道,寿都郡黒松内町,"2,573","1,222","1,351"
013943,1481,北海道,磯谷郡蘭越町,"4,496","2,188","2,308"
013951,1422,北海道,虻田郡ニセコ町,"5,481","2,840","2,641"
013960,1652,北海道,虻田郡真狩村,"1,952",995,957
013978,1647,北海道,虻田郡留寿都村,"2,036","1,050",986
013986,1651,北海道,虻田郡喜茂別町,"1,957",975,982
013994,1587,北海道,虻田郡京極町,"2,800","1,361","1,439"
014001,997,北海道,虻田郡倶知安町,"16,505","8,600","7,905"
014010,1425,北海道,岩内郡共和町,"5,430","2,754","2,676"
014028,1158,北海道,岩内郡岩内町,"11,094","5,241","5,853"
014036,1677,北海道,古宇郡泊村,"1,464",717,747
014044,1718,北海道,古宇郡神恵内村,757,368,389
