コード,ランキング,都道府県,市区町村,人口,男,女
011002,4,北海道,札幌市,1956928,915082,1041846
012025,110,北海道,函館市,240218,109343,130875
012033,267,北海道,小樽市,106507,48187,58320
012041,76,北海道,旭川市,320436,148621,171815
012050,356,北海道,室蘭市,76519,36851,39668
012068,171,北海道,釧路市,157519,74072,83447
012076,165,北海道,帯広市,162460,77538,84922
012084,255,北海道,北見市,111740,53252,58488
012092,1361,北海道,夕張市,6411,3032,3379
012106,363,北海道,岩見沢市,75522,35270,40252
012114,706,北海道,網走市,32846,16129,16717
012122,946,北海道,留萌市,18695,9042,9653
012131,161,北海道,苫小牧市,166846,81829,85017
012149,739,北海道,稚内市,30946,15308,15638
012157,937,北海道,美唄市,18976,9021,9955
012165,1145,北海道,芦別市,11571,5331,6240
012173,227,北海道,江別市,118686,56361,62325
012181,1251,北海道,赤平市,8741,3974,4767
012190,913,北海道,紋別市,20260,9519,10741
012203,986,北海道,士別市,16869,8060,8809
012211,834,北海道,名寄市,25376,12348,13028
012220,1301,北海道,三笠市,7465,3423,4042
012238,870,北海道,根室市,23006,11008,11998
012246,287,北海道,千歳市,97999,49794,48205
012254,653,北海道,滝川市,37309,17670,19639
012262,1020,北海道,砂川市,15520,7207,8313
012271,1599,北海道,歌志内市,2668,1274,1394
012289,944,北海道,深川市,18764,8725,10039
012297,917,北海道,富良野市,19949,9442,10507
012301,578,北海道,登別市,44451,21260,23191
012319,396,北海道,恵庭市,70354,34217,36137
012335,725,北海道,伊達市,31822,14788,17034
012343,470,北海道,北広島市,56903,27211,29692
012351,466,北海道,石狩市,57645,27890,29755
012360,590,北海道,北斗市,43660,20557,23103
013030,1030,北海道,石狩郡当別町,15286,7479,7807
013048,1586,北海道,石狩郡新篠津村,2808,1350,1458
013315,1390,北海道,松前郡松前町,6030,2855,3175
013323,1544,北海道,松前郡福島町,3467,1623,1844
013331,1516,北海道,上磯郡知内町,3898,1912,1986
013340,1527,北海道,上磯郡木古内町,3644,1703,1941
013374,797,北海道,亀田郡七飯町,27544,12759,14785
013439,1534,北海道,茅部郡鹿部町,3570,1689,1881
013455,1081,北海道,茅部郡森町,13865,6471,7394
013463,1046,北海道,二海郡八雲町,14779,7336,7443
013471,1455,北海道,山越郡長万部町,4817,2278,2539
013617,1338,北海道,檜山郡江差町,6820,3280,3540
013625,1493,北海道,檜山郡上ノ国町,4254,1982,2272
013633,1545,北海道,檜山郡厚沢部町,3405,1628,1777
013641,1552,北海道,爾志郡乙部町,3249,1480,1769
013676,1630,北海道,奥尻郡奥尻町,2269,1198,1071
013706,1472,北海道,瀬棚郡今金町,4623,2230,2393
013714,1331,北海道,久遠郡せたな町,6948,3285,3663
013919,1689,北海道,島牧郡島牧村,1286,633,653
013927,1597,北海道,寿都郡寿都町,2694,1335,1359
013935,1606,北海道,寿都郡黒松内町,2573,1222,1351
013943,1481,北海道,磯谷郡蘭越町,4496,2188,2308
013951,1422,北海道,虻田郡ニセコ町,5481,2840,2641
013960,1652,北海道,虻田郡真狩村,1952,995,957
013978,1647,北海道,虻田郡留寿都村,2036,1050,986
013986,1651,北海道,虻田郡喜茂別町,1957,975,982
013994,1587,北海道,虻田郡京極町,2800,1361,1439
014001,997,北海道,虻田郡倶知安町,16505,8600,7905
014010,1425,北海道,岩内郡共和町,5430,2754,2676
014028,1158,北海道,岩内郡岩内町,11094,5241,5853
014036,1677,北海道,古宇郡泊村,1464,717,747
014044,1718,北海道,古宇郡神恵内村,757,368,389
014052,1658,北海道,積丹郡積丹町,1770,821,949
014061,1600,北海道,古平郡古平町,2656,1261,1395
014079,1564,北海道,余市郡仁木町,3040,1484,1556
014087,981,北海道,余市郡余市町,17222,7994,9228
014095,1685,北海道,余市郡赤井川村,1353,731,622
014231,1289,北海道,空知郡南幌町,7785,3744,4041
014249,1451,北海道,空知郡奈井江町,4819,2277,2542
014257,1616,北海道,空知郡上砂川町,2459,1137,1322
014273,1468,北海道,夕張郡由仁町,4662,2231,2431
014281,1207,北海道,夕張郡長沼町,10057,4826,5231
014290,1171,北海道,夕張郡栗山町,10905,5091,5814
