漢字,読み,間違い1,間違い2,間違い3,意味。
愛玩,あいがん,あいそん,あいこう,あいかん,かわいがること。
愛顧,あいこ,あいぐ,あいこう,あいご,ひいきにすること。
愛称,あいしょう,あいしょうう,あいせい,あいじょう,親しみのある呼び名。
相槌,あいづち,そうつい,あいづつ,そうづち,会話で打つ受け答え。
相俟って,あいまって,そうまって,あいまたって,そうまたって,互いに作用して。
贖う,あがなう,かうう,つぐのう,かえす,罪・過ちをつぐなうこと。代価を払って罪を清めるという意味。
諦める,あきらめる,ていめる,すてめる,やめる,望みを捨てて断念すること。「諦観」と同じ「諦」の字。仏教語が語源。
芥,あくた,かい,ごみ,くず,ごみ・くず・価値のないものの意。「かい」は音読みで「あくた」が正しい。
欠伸,あくび,けっしん,かけのび,かけのばし,眠いときや退屈なときに口を大きく開けて息を吐く動作。「けっしん」は誤読で「あくび」が正しい。
明後日,あさって,みょうごにち,あけごにち,あしたあした,今日の2日後のこと。「みょうごにち」は音読みで「あさって」が正しい。
足跡,あしあと,そくせき,あしあと,あしせき,人や動物が歩いた跡。業績の意味では「そくせき」とも読む。
小豆,あずき,しょうず,こまめ,おまめ,赤い小粒の豆。和菓子の餡に使われる。「しょうず」「こまめ」は誤読。
嵐,あらし,らん,かぜあめ,おおかぜ,激しい風雨のこと。「らん」は音読みで「あらし」が正しい。
粗利益,あらりえき,そりえき,そりえき,あらりやく,売上高から売上原価を差し引いた、大まかな利益のこと。売上総利益。
行脚,あんぎゃ,いきあし,こうきゃく,こうあし,各地を歩き回ること。もとは修行僧が諸国を巡ること。「いきあし」は誤読。
塩梅,あんばい,えんばい,しおうめ,えんべい,料理の味加減、物事の具合や加減、身体の調子。
唯々諾々,いいだくだく,ただただだくだく,ゆいゆいだくだく,いいだく,他人の言いなりになる様子。
硫黄,いおう,りゅうおう,きいし,きせき,黄色い非金属元素。「りゅうおう」は誤読で「いおう」が正しい。
遺憾,いかん,いざん,のこかん,いごん,期待通りにならず残念に思うこと。「遺憾に思う」「遺憾なく発揮する」などの形で使われる。
意気消沈,いきしょうちん,いきしょうしん,いきけしたか,いきしょうてん,元気がなくなって沈み込むこと。
依拠,いきょ,いこ,いこう,いきょう,根拠とすること。
意気地,いくじ,いきじ,いきち,い気地,物事をやり遂げようとする気力、根性。
異口同音,いくどうおん,いこうどうおん,いぐちどうおん,いくどういん,皆が同じ意見。
活魚,いけうお,かつぎょ,いきうお,いきぎょ,生きている魚。料理の直前まで生かしておく魚。
依怙地,いこじ,いこうち,いこんじ,いごじ,意地を張ること。
委嘱,いしょく,いぞく,いしょく,いしょく,特定の仕事や業務を、外部の人に頼んで任せること。
依然,いぜん,よりぜん,いぜんん,いさき,そのまま。
依存,いそん,いぞん,えそん,いしょん,他のものに頼って存在・機能すること。「いぞん」は慣用読みとして広く使われるが、本来は「いそん」。
依存心,いぞんしん,いそんしん,いじんしん,いぞうしん,頼る気持ち。
委託,いたく,いしょく,いいたく,いたっく,任せること。
一応,いちおう,いっちょう,いちよう,ひとおう,ひとまず。
一見さん,いちげんさん,いっけんさん,ひとみさん,いちみさん,紹介などのない、初めての馴染みのない客のこと。
一期一会,いちごいちえ,いっきいちえ,いちきいちえ,いちごいちかい,一生に一度の出会いとして大切にすること。茶道の精神から生まれた言葉。
一段,いちだん,ひとだん,いちだんん,ひとだんん,他と比べて程度が格段に違うこと。
一段落,いちだんらく,ひとだんらく,いちだんおち,ひとだんおち,区切りがつくこと。
一堂,いちどう,ひとどう,いっちょう,いっどうう,一つの建物や同じ場所に集まること。
一瞥,いちべつ,いちげつ,いっかい,いちえつ,ちらっと見ること。
一喝,いっかつ,いちかつ,ひとかつ,いっこう,大声で叱ること。
一括,いっかつ,ひとかつ,いちかつ,いっこう,まとめて扱うこと。
一切,いっさい,いっせつ,ひとくち,いっさい,全部、すべて。または（下に打ち消しの語を伴って）まったく、少しも。
一矢,いっし,いちや,いっや,ひとや,一本の矢。
一蹴,いっしゅう,いっそう,いっけり,いっしゅつ,簡単に退けること。
一新,いっしん,ひとあたらし,いちにゅう,いっしんん,すっかり新しくすること。
一炊の夢,いっすいのゆめ,いっしゃくのゆめ,いっすいのむ,ひとたきのゆめ,人生の栄華は儚いということ。
一世代,いっせだい,いっせいいちだい,ひとせだい,いちじだい,人が生まれてから親になるまでの約30年間。また、あるひとつの時代。
田舎,いなか,でんしゃ,たいなか,たいなわ,都市から離れた自然豊かな地方。「でんしゃ」は誤読で「いなか」が正しい。
茨城,いばらき,いばらぎ,いばらしき,いばらき,関東地方にある県名の一つ。
今際の際,いまわのきわ,いまわのさい,いまぎわのさい,いまわのとき,臨終のとき、死に際、息を引き取る直前。
意訳,いやく,いわけ,いしき,いしき,外国語の言葉の表面的な意味にとらわれず、全体の意味をくみとって翻訳すること。
依頼心,いらいしん,いらいごころ,よりしん,いぞんしん,頼る気持ち。
海豚,いるか,かいとん,うみぶた,かいぶた,水生哺乳類の一種。「かいとん」は誤読で「いるか」が正しい。
彩る,いろどる,さいる,いろどるす,さいるす,美しく飾ったり、色をつけたりすること。
巌,いわお,がん,おおいわ,けわしいいわ,大きく険しい岩のこと。「がん」は音読みで「いわお」が正しい。
所謂,いわゆる,しょきん,しょい,ところがい,世間一般で言われる・いわゆる、という意味。「所謂エリートというやつだ」などの形で使われる。
慇懃無礼,いんぎんぶれい,あんぎんぶれい,いんぎんぶらい,あんぎんぶらい,言葉や態度は丁寧すぎるほどだが、実は尊大で心がこもっていないこと。
引導,いんどう,ひきみち,いんとう,ひきどう,あきらめるように最終的な宣告をすること。
因縁,いんねん,いんえん,ちなみに,いんゆかり,物事が生じる直接の因と間接の縁。宿命や因縁、言いがかり。
隠蔽,いんぺい,おんぺい,かくぺい,いんへい,都合の悪いことを隠し覆うこと。
右往左往,うおうさおう,うゆうさゆう,みぎおうひだりおう,うおうさゆう,混乱してあちこち動き回ること。
窺う,うかがう,けいう,のぞきう,うかう,そっと見る・様子を観察すること。また機会を待つこと。「隙を窺う」などの形で使われる。
穿つ,うがつ,ほじる,うがつす,せんつ,本質を捉える、または穴をあける。
鶯,うぐいす,おう,はるどり,きどり,春に「ホーホケキョ」と鳴く鳥。「おう」は誤読で「うぐいす」が正しい。
渦,うず,か,まきなみ,まわりなみ,水や空気が回転する流れ。「か」は音読みで「うず」が正しい。
有頂天,うちょうてん,ありちょうてん,ういただきてん,うぢょうてん,大喜びして我を忘れること。
俯せる,うつぶせる,ふせる,ふかせる,うつせる,うつ伏せにする。
畝,うね,ほ,たがやしみち,はたけすじ,田畑に土を盛り上げて作る列状の部分。「ほ」は面積の単位としての読み。
産声,うぶごえ,さんごえ,うまれごえ,うぶこえ,赤ちゃんが生まれた直後に発する最初の泣き声。「さんごえ」は誤読。
心恋しい,うらがなしい,こころかなしい,しんこいしい,うらこいしい,何となく心が寂しく、慕わしく思われる。※画像「心恋しい」正解「うらがなしい」は古語的な表現。
閏年,うるうどし,じゅんねん,かんねん,うるうねん,2月が29日ある年のこと。
五月蝿い,うるさい,さつきはえい,ごがつばえい,ごばえしい,騒がしい・やかましいこと。当て字で「うるさい」と読む難読語。
運否天賦,うんぷてんぷ,うんびてんぷ,うんぷてんぶ,うんふてんぷ,人の運命は天に任せるしかないということ。一か八かの運試し。
役務,えきむ,やくむ,えきむ,やくぶ,他人のために行う労働やサービス、仕事のこと。
回向,えこう,かいこう,えむけ,かいむけ,死者の成仏を願って仏事を行うこと。
会釈,えしゃく,かいしゃく,あいしゃく,えしゃくく,軽く頭を下げて挨拶すること。
閲読,えつどく,けつどく,えらんどく,えつよみ,読むこと。
閲兵,えっぺい,けっぺい,えつへい,えっへい,軍隊の視察。
閲覧,えつらん,けつらん,えらん,えつみ,見ること。
閲歴,えつれき,けつれき,えつりゃく,えつれつ,経歴。
会得,えとく,かいとく,あいとく,えどく,物事を理解して自分のものにすること。
海老,えび,かいろう,うみおや,うみおいろ,甲殻類の一種。「かいろう」は誤読で「えび」が正しい。
冤罪,えんざい,うさぎつみ,おんざい,えんさい,無実の罪。
横溢,おういつ,おうえき,よこあふれ,よこいつ,水などがみなぎりあふれること。元気や才能などが満ちあふれている様子。
押印,おういん,おしいん,おしいん,お印,印鑑を書類に押すこと。捺印と同義。
応酬,おうしゅう,おうじゅう,おうとう,おうそう,やり取り。
応対,おうたい,おうてい,おうだい,こたいたい,応じること。
凹凸,おうとつ,でこぼこ,ぼこでこ,へいとつ,くぼんでいるところと、高くなっているところ。高低や不平があること。
押捺,おうなつ,おうな,おしなつ,おうだつ,印鑑や指紋を押すこと。
懊悩,おうのう,なやみのう,あおのう,おうなや,悩み苦しむこと。深く思い悩んで胸を痛める状態を表す。
横柄,おうへい,よこがら,おうがら,よこへい,威張って人を見下す態度。
嗚咽,おえつ,なきじゃくり,おいつ,あえつ,声を詰まらせながら泣くこと。悲しみや感動で泣きじゃくる様子。
大舞台,おおぶたい,だいぶたい,だいステージ,おおステージ,重要な活躍の場、実力を発揮する大きな晴れの舞台。
概ね,おおむね,がいね,だいたい,かいね,だいたい・おおよそという意味。「概ね良好」「概ね予定通り」などの形で使われる。
可笑しい,おかしい,かわらしい,かおかしい,かしおかしい,滑稽で笑えること、または不思議でおかしいこと。
小暗い,おぐらい,こぐらい,ちいさくらい,しょうくらい,何となく薄暗い、少し暗い様子。
一昨日,おととい,いちさくじつ,いちさくにち,ひとつきのう,今日の2日前のこと。漢字の音読みで「いちさくじつ」と読みがちだが「おととい」が正しい。
乙女,おとめ,おつじょ,いつめ,いちじょ,年若い女性・少女のこと。「おつじょ」は誤読で「おとめ」が正しい。
各々,おのおの,かくかく,おのずから,めいめい,それぞれ、各自。複数の人や物のひとつひとつを指す。
慄く,おののく,りつく,ふるえく,おそれく,恐怖や寒さで体が震えること。強い恐れや畏れを感じる様子。
十八番,おはこ,じゅうはちばん,じゅうはっぽん,じゅうやつ,最も得意とする芸や技のこと。歌舞伎の「十八番」に由来し、読みは「おはこ」。
脅える,おびえる,きょうえる,おどえる,おびる,恐れること。
脅かす,おびやかす,きょうかす,おどろかす,おびかす,危険を与えること。
澱,おり,でん,にごりしたに,しずみ,液体の底に沈んだ不純物・沈殿物。「でん」は音読みで「おり」が正しい。
音声,おんせい,おんしょう,ねごえ,おとごえ,声や音。
怨念,おんねん,えんねん,うらみねん,おんねん,強い恨みのこもった一念。深く根に持った怨み。
回帰,かいき,えき,かいきき,えきき,ひとまわりして元の状態に戻ること。
概況,がいきょう,かいきょう,がいこう,がいじょう,全体の様子。
概算,がいさん,かいさん,がいざん,かいざん,おおよその計算。
概説,がいせつ,がいぜつ,かいせつ,がいしょう,大まかな説明。
蓋然,がいぜん,ふたぜん,かいぜん,がいねん,ある程度の確からしさ・起こりうる可能性のこと。「蓋然性が高い」の形でよく使われる。
快諾,かいだく,かいらく,かいたく,けだく,気持ちよく承諾すること。
外套,がいとう,そとう,がいとうう,そとぎ,コート。
概念,がいねん,かいねん,がいれん,かいれん,物事の基本的な考え。
壊滅,かいめつ,えめつ,こわれめつ,かいめつつ,組織や街などがすっかり破壊されてなくなること。
乖離,かいり,そむきり,こうり,かいはなれ,二つのものが離れてしまうこと。理想と現実の「乖離」などの形で使われる。
概略,がいりゃく,かいりゃく,がいやく,かいやく,大まかな内容。
