漢字,ただしい読み,間違った読み1,間違った読み2,間違った読み3,意味
月極,つきぎめ,げっきょく,げつぎめ,つききわみ,1か月単位で契約を交わすこと。主に駐車場などの契約で用いられる。
凹凸,おうとつ,でこぼこ,ぼこでこ,へいとつ,くぼんでいるところと、高くなっているところ。高低や不平があること。
漸次,ぜんじ,ざんじ,しんじ,ぜんし,だんだんと、しだいに。時間の経過とともに少しずつ変化する様子。
暫時,ざんじ,ぜんじ,しばらく,ざんし,しばらくの間、少しの間。わずかな時間を表す語。
遵守,じゅんしゅ,そんしゅ,そんまもり,じゅんまもり,法律や規則、道理などをかたく守り、それに従うこと。
所謂,いわゆる,しょせん,しょき,いわに,世間で言われている、俗に言う。過去の言葉や定義を引き出す語。
汎用,はんよう,ぼんよう,はんもち,ぼんもち,一つの用途に限らず、広くさまざまな方面や目的に用いること。
逝去,せいきょ,いきょ,せいき,せいきょく,他人が他界すること、死ぬことの尊敬語。他人の死を敬って言う表現。
出納,すいとう,しゅつのう,でいり,しゅつな,金銭や物品を出し入れすること。会計の管理などに用いる。
各々,おのおの,かくかく,おのずから,めいめい,それぞれ、各自。複数の人や物のひとつひとつを指す。
会釈,えしゃく,かいしゃく,かいしゃく,えさく,軽いお辞儀をすること。相手に対して敬意や挨拶を示す動作。
一入,ひとしお,いちにゅう,いちいり,ひとついり,ひときわ、いっそう。感情や状態が他と比べてより強まる様子。
美人局,つつもたせ,びじんきょく,びじん局,みとせ,夫婦などが共謀し、妻に他の男を誘惑させ、それを言いがかりに金品を脅し取る狂言。
依存心,いそんしん,いぞんしん,えそんしん,いしょんしん,他人に頼り、甘えようとする気持ちや心理。
他人事,ひとごと,たにんごと,あだごと,たにんじ,自分には無関係な、他の人に関する事柄。
貼付,てんぷ,ちょうふ,はりつけ,てきふ,書類などを貼り付けること。「ちょうふ」は俗読みで、正しくは「てんぷ」。
代替,だいたい,だいがえ,だいかえ,だいたいえ,それに見合う他のもので代えること。代わりのもの。
押印,おういん,おしいん,おしいん,お印,印鑑を書類に押すこと。捺印と同義。
礼賛,らいさん,れいさん,らいさん,れいざん,素晴らしいものとして褒めたたえ、崇めること。
年俸,ねんぽう,ねんぼう,としほう,ねんぽく,1年を単位として支給される給与や報酬の額。
割愛,かつあい,わりあい,わりあい,かつあ,惜しいと思いながらも、省略したり切り捨てたりすること。
廉価,れんか,けんか,やすか,れんが,商品の値段が安いこと。安価。
役務,えきむ,やくむ,えきむ,やくぶ,他人のために行う労働やサービス、仕事のこと。
適宜,てきぎ,てきせん,てきよろし,てきよし,その場の状況に合わせて、各自の判断で都合よく行う様子。
嫌悪,けんお,けんあく,いやお,けんお,不快に感じて強く嫌うこと。憎み嫌う気持ち。
原因,げんいん,げいいん,もといん,げんよる,ある結果を引き起こすもととなった事柄や理由。
幕間,まくあい,まくま,まくかん,まくあい,演劇などで、一つの幕が閉じてから次の幕が開くまでの間の休憩時間。
忌引き,きびき,いびき,きひき,いみびき,近親者の死去により、学校や仕事を休むこと。
粗利益,あらりえき,そりえき,そりえき,あらりやく,売上高から売上原価を差し引いた、大まかな利益のこと。売上総利益。
雰囲気,ふんいき,ふいんき,ふんき,ふんいきき,その場を満たしている気分や、独特の空気感。
肉汁,にくじゅう,にくじる,にくしる,にくじゅ,肉を調理したときに出る、旨味を含んだ汁。
続柄,つづきがら,ぞくがら,つながり,つづきばら,親族関係の呼び方。父・母・兄弟など、家族の間柄を表す語。
猛者,もさ,もうじゃ,たけもの,もうしゃ,武勇に優れた人、あるいは特定の分野で非常に実力や勢力がある人。
疾病,しっぺい,しつびょう,しっびょう,しツやまい,病気のこと。疾患や患い。
建立,こんりゅう,けんりつ,こんりつ,たてだち,寺院や堂塔、碑などを建設すること。
言質,げんち,げんしつ,ことじち,げんしち,後で証拠となるような、約束の言葉。言葉の質。
幕間,まくあい,まくま,まくかん,まくあい,演劇などの幕と幕との間の時間。休憩時間。
