k,c,w1,w2,w3,m
貼付,てんぷ,ちょうふ,はりつけ,てきふ,書類などを貼り付けること。「ちょうふ」は俗読みで、正しくは「てんぷ」。
続柄,つづきがら,ぞくがら,つながら,つづきばら,親族関係の呼び方。父・母・兄弟など、家族の間柄を表す語。
依存,いそん,いぞん,えそん,いしょん,他のものに頼って存在・機能すること。「いぞん」は慣用読みとして広く使われるが、本来は「いそん」。
雰囲気,ふんいき,ふいんき,ふんき,ふにんき,その場に漂う独特の気配・情緒。「ふいんき」は誤読として定着しているが、正しくは「ふんいき」。
早急,さっきゅう,そうきゅう,はやきゅう,そっきゅう,非常に急ぐこと。「そうきゅう」も許容されているが、本来の読みは「さっきゅう」。
重複,ちょうふく,じゅうふく,かさふく,ちょうぼく,同じものが重なること。「じゅうふく」は慣用読みとして広まっているが、本来は「ちょうふく」。
代替,だいたい,だいがえ,かわりたい,だいたえ,他のものに置き換えること。「だいがえ」は誤読。正しくは「だいたい」。
消耗,しょうもう,しょうこう,しょうひ,けしもう,使って減らすこと、また体力や気力が尽きること。「しょうこう」は誤読。
出納,すいとう,でのう,しゅつのう,でいれ,金銭や物品の出し入れ・収支の管理のこと。会計用語として使われる。
相殺,そうさい,あいさつ,そうさつ,あいさい,互いの利害・損得を差し引いてゼロにすること。「あいさつ（挨拶）」とは別の語。
堪能,たんのう,かんのう,たえのう,たんなう,十分に満足すること、また技芸などに非常に優れていること。
固執,こしつ,こしゅう,こじつ,かたじつ,自分の意見や考えを頑固に守り変えないこと。「こしゅう」は誤読。
漏洩,ろうえい,もれよう,ろうもれ,ろうせつ,秘密や情報などが外部に漏れること。「ろうせつ」とも読むが、「ろうえい」が一般的。
招聘,しょうへい,しょうせい,まねい,しょうへき,礼を尽くして人を招くこと。専門家や著名人を正式に招待する際に使う。
憂鬱,ゆううつ,ゆうめつ,うれいうつ,ゆうこつ,気持ちが晴れず、ふさぎ込んでいる状態。難しい漢字だが読みもよく間違えられる。
脆弱,ぜいじゃく,きじゃく,もろじゃく,ぜいよわ,もろくて弱いこと。システムや体制の弱点を指す際にも使われる。
