k,c,w1,w2,w3,m
御用達,ごようたし,おようたつ,ごようつ,おようだつ,特定の人や機関に品物を納めること。「ごようたし」が正しく、「ごようたつ」は誤読として広まっている。
十八番,おはこ,じゅうはちばん,じゅうはっぽん,じゅうやつ,最も得意とする芸や技のこと。歌舞伎の「十八番」に由来し、読みは「おはこ」。
一期一会,いちごいちえ,いっきいちえ,いちきいちえ,いちごいちかい,一生に一度の出会いとして大切にすること。茶道の精神から生まれた言葉。
境内,けいだい,さかいうち,きょうない,けいうち,神社・寺院の敷地内のこと。「きょうない」は誤読で「けいだい」が正しい。
大団円,だいだんえん,だいだんまる,おおだんえん,だいとえん,物語や事件などが丸く収まって終わること。「だんえん」が正しく「だんまる」は誤り。
五月雨,さみだれ,ごがつあめ,さつきあめ,ごつきあめ,梅雨の時期に降り続く長雨のこと。「ごがつあめ」は誤読で「さみだれ」が正しい。
山車,だし,やまくるま,さんしゃ,やまぐるま,祭りで引き回す飾り車のこと。「やまくるま」「さんしゃ」は誤読で「だし」が正しい。
読経,どきょう,よみきょう,とっきょう,どうきょう,お経を声に出して読むこと。「よみきょう」は誤読で「どきょう」が正しい。
境遇,きょうぐう,さかいあい,けいぐう,きょうあい,その人が置かれている生活上の状況・環境のこと。
数珠,じゅず,すうじゅ,かずたま,すうしゅ,仏具の一種で、小さな玉を糸で繋いだもの。「すうじゅ」は誤読で「じゅず」が正しい。
外科,げか,そとか,がいか,がいきゃ,手術などの方法で治療する医学分野。「がいか」は誤読で「げか」が正しい。
産声,うぶごえ,さんごえ,うまれごえ,うぶこえ,赤ちゃんが生まれた直後に発する最初の泣き声。「さんごえ」は誤読。
気骨,きこつ,きほね,けいこつ,きぼね,自分の信念を貫く強い精神力・意気地。「きほね」は誤読で「きこつ」が正しい。
手練,てだれ,てれん,しゅれん,てのれん,技術や経験が非常に優れていること・その人物。「てれん」は別の意味もある。
出生,しゅっしょう,でうまれ,しゅっせい,でしょう,生まれること・生まれ。戸籍用語としては「しゅっしょう」が正式。
七夕,たなばた,しちせき,ななゆう,なのかゆう,7月7日の行事で織姫と彦星が年に一度会う伝説に基づく。「しちせき」は音読みで「たなばた」が一般的。
足袋,たび,そくたい,あしぶくろ,あしたい,和装に使う布製の履物。「そくたい」は誤読で「たび」が正しい。
白髪,しらが,はくはつ,しろかみ,しろがみ,色素が抜けた白い髪の毛。「しらが」が和語の読み、「はくはつ」は漢語読み。
時雨,しぐれ,じう,ときあめ,じさめ,晩秋から初冬にかけて降ったりやんだりする雨。「じう」は誤読で「しぐれ」が正しい。
波紋,はもん,なみもん,はぶん,はばん,水面に広がる同心円状の波。また、社会に広がる影響を指す。
寒気,さむけ,かんき,かんぎ,さびき,体が寒く感じる感覚・悪寒。「かんき」とも読むが「悪寒」の意味では「さむけ」。
日和,ひより,にちわ,にっわ,にちゆう,空模様・天気の具合のこと。「にちわ」は誤読で「ひより」が正しい。
河岸,かし,かわぎし,かがん,がし,川の岸辺、または魚市場のこと。「かわぎし」は別読みだが「かし」が慣用的。
波止場,はとば,なみとば,はしば,なみどば,船が停泊し荷物の積み降ろしをする所。「なみとば」は誤読で「はとば」が正しい。
行方,ゆくえ,いきかた,こうほう,ゆきがた,向かう先・所在・消息のこと。「こうほう」は誤読で「ゆくえ」が正しい。
若人,わこうど,わかびと,じゃくじん,わかひと,若者・青年のこと。「わかびと」「じゃくじん」は誤読で「わこうど」が正しい。
居士,こじ,いし,きょし,いじ,在家のまま仏道に帰依した男性の称。また男性の戒名の下に付ける語。
一昨日,おととい,いちさくじつ,いちさくにち,ひとつきのう,今日の2日前のこと。漢字の音読みで「いちさくじつ」と読みがちだが「おととい」が正しい。
明後日,あさって,みょうごにち,あけごにち,あしたあした,今日の2日後のこと。「みょうごにち」は音読みで「あさって」が正しい。
昨今,さっこん,きのうこん,さくこん,さきこん,近ごろ・最近のこと。「きのうこん」は誤読で「さっこん」が正しい。
草鞋,わらじ,くさあし,そうかい,くさぐつ,わらで編んだ履物。「そうかい」「くさあし」は誤読で「わらじ」が正しい。
飛沫,しぶき,とびまつ,ひまつ,とびしる,液体が細かく飛び散ったもの。「ひまつ」は感染症関連で使われるが「しぶき」が本来の読み。
木綿,もめん,きわた,もくめん,もくわた,綿花から作られる繊維・布地。「もくめん」は誤読で「もめん」が正しい。
上手,じょうず,かみて,うえて,うわて,技術がすぐれていること。舞台用語では「かみて」と読む場合もある多読み語。
下手,へた,しもて,したて,しもで,技術が劣っていること。舞台用語では「しもて」、謙遜語では「したて」とも読む。
紅葉,もみじ,こうよう,べにば,くれないは,秋に木の葉が赤や黄色に変わること。「こうよう」も正しいが木の種類としては「もみじ」。
土産,みやげ,どさん,つちうまれ,どうさん,旅先などから持ち帰る贈り物。「どさん」は誤読で「みやげ」が正しい。
師走,しわす,しそう,しばしり,しうす,旧暦12月・現代では12月の別名。僧侶が東西に走り回るほど忙しい月という説がある。
睦月,むつき,もくつき,しんげつ,むつかつき,旧暦1月の別名。人々が打ち解け「むつびあう」月という意味。
弥生,やよい,いやおい,みつき,よもき,旧暦3月の別名。草木がいよいよ生い茂る月という意味。
神無月,かんなづき,しんなしつき,かみなしつき,かんなつき,旧暦10月の別名。出雲大社に全国の神が集まるため各地に神がいなくなる月。
小豆,あずき,しょうず,こまめ,おまめ,赤い小粒の豆。和菓子の餡に使われる。「しょうず」「こまめ」は誤読。
海苔,のり,かいたい,うみくさ,うみのり,食用の藻類を干したもの。「かいたい」は誤読で「のり」が正しい。
玄人,くろうと,げんじん,くろひと,もとじん,その道のプロ・専門家のこと。「げんじん」は誤読で「くろうと」が正しい。
素人,しろうと,そじん,すひと,しろひと,その道の専門でない人・未経験者。「そじん」は誤読で「しろうと」が正しい。
仲人,なこうど,なかにん,ちゅうじん,なかびと,結婚の仲介をする人。「ちゅうじん」は誤読で「なこうど」が正しい。
心地,ここち,しんじ,こころじ,こころち,気持ち・気分・感じのこと。「しんじ」は誤読で「ここち」が正しい。
名残,なごり,みょうさん,なのこり,なごろ,別れの名残・物事が終わった後に残る余韻。「みょうさん」は誤読。
田舎,いなか,でんしゃ,たいなか,たいなわ,都市から離れた自然豊かな地方。「でんしゃ」は誤読で「いなか」が正しい。
行脚,あんぎゃ,いきあし,こうきゃく,こうあし,各地を歩き回ること。もとは修行僧が諸国を巡ること。「いきあし」は誤読。
果物,くだもの,かぶつ,はてもの,かものの,食用の甘い実・フルーツ。「かぶつ」は誤読で「くだもの」が正しい。
木霊,こだま,きだま,もくれい,きれい,山や森で声や音が反響する現象。木に宿る精霊の意味もある。
早乙女,さおとめ,はやおとめ,そうおとめ,さおとご,田植えをする若い女性のこと。また女性の名前にも使われる。
乙女,おとめ,おつじょ,いつめ,いちじょ,年若い女性・少女のこと。「おつじょ」は誤読で「おとめ」が正しい。
吹雪,ふぶき,ふうゆき,すいせつ,すいゆき,激しい風に雪が吹き飛ばされる現象。「すいせつ」は誤読で「ふぶき」が正しい。
竹刀,しない,たけがたな,ちくとう,たけとう,剣道の稽古に使う竹製の剣。「ちくとう」は誤読で「しない」が正しい。
雪崩,なだれ,ゆきくずれ,せつほう,ゆきなだ,山の斜面に積もった雪が崩れ落ちる現象。「ゆきくずれ」は誤読で「なだれ」が正しい。
黄昏,たそがれ,こうこん,きたそ,きこん,夕暮れ時・薄暗くなる時刻。転じて物事の衰退期を指す。「こうこん」は誤読。
凸凹,でこぼこ,とつおう,とつぼこ,でこうお,表面が平らでなく出っ張りやへこみがある様子。「とつおう」は音読み。
雑魚,ざこ,ざつぎょ,ざっさかな,ざこさかな,小さな魚・価値の低い小物のこと。「ざつぎょ」は誤読で「ざこ」が正しい。
足跡,あしあと,そくせき,あしあと,あしせき,人や動物が歩いた跡。業績の意味では「そくせき」とも読む。
水母,くらげ,すいぼ,みずはは,みなははは,海中に漂う傘状の生き物。「すいぼ」は誤読で「くらげ」が正しい。
海豚,いるか,かいとん,うみぶた,かいぶた,水生哺乳類の一種。「かいとん」は誤読で「いるか」が正しい。
河豚,ふぐ,かぶた,かわぶた,かわとん,毒を持つ海水魚の一種。「かわぶた」は誤読で「ふぐ」が正しい。
海老,えび,かいろう,うみおや,うみおいろ,甲殻類の一種。「かいろう」は誤読で「えび」が正しい。
蝸牛,かたつむり,かぎゅう,うずまきむし,かいむし,陸生の巻き貝の一種。「かぎゅう」は音読みで「かたつむり」が訓読み。
蜻蛉,とんぼ,せいれい,とんぼう,せいろう,昆虫の一種。また「かげろう」とも読む。「せいれい」は誤読。
百舌,もず,ひゃくぜつ,ものまね,もうぜつ,小型の猛禽類の鳥。さまざまな鳥の声を真似ることから「百の舌」。
鶯,うぐいす,おう,はるどり,きどり,春に「ホーホケキョ」と鳴く鳥。「おう」は誤読で「うぐいす」が正しい。
鰐,わに,がく,かわかみ,おおとかげ,熱帯の大型爬虫類。「がく」は音読みで「わに」が正しい。
鯉,こい,りこ,たいぎょ,かわさかな,淡水魚の一種。観賞用や食用に飼われる。「りこ」は誤読で「こい」が正しい。
蛍,ほたる,けい,ひかりむし,ようこう,夜に発光する昆虫。「けい」は音読みで「ほたる」が正しい。
蝶,ちょう,てふ,ちょうちょ,ひら,鱗翅目の昆虫。古語では「てふ」と書いた。
蜂,はち,ほう,さしむし,とびむし,毒針を持つ昆虫の一種。「ほう」は音読みで「はち」が正しい。
椿,つばき,ちん,はるのはな,とうかはな,常緑樹で冬から春に花を咲かせる。「ちん」は誤読で「つばき」が正しい。
藤,ふじ,とう,のはな,むらさきのはな,紫色の花を咲かせるつる性の植物。「とう」は音読み。
楓,かえで,ふう,もみじき,あきのき,秋に紅葉する落葉樹。「ふう」は別種（フウ）の音読みで混同されやすい。
柊,ひいらぎ,しゅう,いがき,とげき,葉に鋭いトゲを持つ常緑樹。「しゅう」は誤読で「ひいらぎ」が正しい。
檜,ひのき,かい,ひきのき,ひのちき,日本の代表的な針葉樹で建材として有名。「かい」は誤読で「ひのき」が正しい。
樫,かし,しゅう,かたき,かしわき,硬い材木が取れる常緑広葉樹。「しゅう」は誤読で「かし」が正しい。
梅雨,つゆ,ばいう,うめあめ,うめゆ,6月ごろに続く長雨の時期。「ばいう」は漢語読み、「つゆ」が日本語読み。
露,つゆ,ろ,しずく,あめつぶ,朝に草などに付く水滴。「ろ」は音読み。「したたり落ちる」意味でも使われる。
霜,しも,そう,こおりつゆ,しらしも,気温が下がり地表に凍りついた水分。「そう」は音読みで「しも」が正しい。
嵐,あらし,らん,かぜあめ,おおかぜ,激しい風雨のこと。「らん」は音読みで「あらし」が正しい。
凪,なぎ,てい,かぜなし,しずかうみ,風がやんで波が静まった状態。「てい」は誤読で「なぎ」が正しい。
漣,さざなみ,れん,さわさわなみ,こなみ,水面にそっと立つ細かい波。「れん」は音読みで「さざなみ」が正しい。
渦,うず,か,まきなみ,まわりなみ,水や空気が回転する流れ。「か」は音読みで「うず」が正しい。
淀,よど,てん,たまりみず,ながれとまり,流れが止まって水が溜まること・地名にも使われる。「てん」は誤読で「よど」が正しい。
澱,おり,でん,にごりしたに,しずみ,液体の底に沈んだ不純物・沈殿物。「でん」は音読みで「おり」が正しい。
巌,いわお,がん,おおいわ,けわしいいわ,大きく険しい岩のこと。「がん」は音読みで「いわお」が正しい。
礫,つぶて,れき,こいし,なげいし,小石・石ころ。投げる石の意味もある。「れき」は音読み。
芥,あくた,かい,ごみ,くず,ごみ・くず・価値のないものの意。「かい」は音読みで「あくた」が正しい。
塵,ちり,じん,ほこり,こなごみ,非常に細かいほこり・ごみ。「じん」は音読み。
藁,わら,こう,いねがら,かんそうくさ,稲などの穀物の茎を乾燥させたもの。「こう」は誤読で「わら」が正しい。
菰,こも,か,かやむしろ,すのこ,マコモや藁で編んだむしろ・茣蓙のこと。「か」は誤読で「こも」が正しい。
畝,うね,ほ,たがやしみち,はたけすじ,田畑に土を盛り上げて作る列状の部分。「ほ」は面積の単位としての読み。
鎌,かま,れん,かりみ,かりき,草や稲を刈り取る刃物。「れん」は誤読で「かま」が正しい。
鑿,のみ,さく,ほりどうぐ,きりき,木や石を彫る工具。「さく」は音読みで「のみ」が正しい。
錐,きり,すい,とがりどうぐ,あなあけ,穴をあける先のとがった工具。「すい」は音読みで「きり」が正しい。
箸,はし,ちょ,たべもの,しょくじき,食事に使う細長い棒状の道具。「ちょ」は音読みで「はし」が正しい。
匙,さじ,し,スプーン,ひとさじ,液体や粉末をすくう道具。「じ」は音読みで「さじ」が正しい。
暖簾,のれん,だんれん,あたためとばり,おんとばり,商店の入口に垂らす布製の仕切り。「だんれん」は誤読で「のれん」が正しい。
煙草,たばこ,えんそう,けむりくさ,たばご,葉を乾燥させて吸う嗜好品。「えんそう」は誤読で「たばこ」が正しい。
硫黄,いおう,りゅうおう,きいし,きせき,黄色い非金属元素。「りゅうおう」は誤読で「いおう」が正しい。
雰囲,ふんい,ふいん,あんい,ほうい,ある場所全体に漂う気配・ムード（「雰囲気」の略ではない単語として）。
欠伸,あくび,けっしん,かけのび,かけのばし,眠いときや退屈なときに口を大きく開けて息を吐く動作。「けっしん」は誤読で「あくび」が正しい。
微塵,みじん,びじん,ちいさじん,びちり,非常に細かい粒・ごくわずかのこと。「びじん（美人）」とは異なる語。
不貞腐れる,ふてくされる,ふていくされる,ふてぐされる,ふてくさる,不満や反抗心から投げやりな態度をとること。「ふていくされる」は誤読。
五月蝿い,うるさい,さつきはえい,ごがつばえい,ごばえしい,騒がしい・やかましいこと。当て字で「うるさい」と読む難読語。
可笑しい,おかしい,かわらしい,かおかしい,かしおかしい,滑稽で笑えること、または不思議でおかしいこと。
