一段落,いちだんらく,ひとだんらく,いちだんおち,ひとだんおち,区切りがつくこと
他人事,ひとごと,たにんごと,ほかびとごと,たじんごと,自分に関係ないこと
月極,つきぎめ,げっきょく,つききわめ,げつぎめ,月単位の契約
相応しい,ふさわしい,そうおうしい,あいおうしい,そうわしい,釣り合っている
相槌,あいづち,そうつい,あいづつ,そうづち,会話で打つ受け答え
貼紙,はりがみ,ちょうし,てんし,はりし,貼り付けた紙
訃報,ふほう,とほう,ふうほう,ほふう,死亡の知らせ
凡庸,ぼんよう,はんよう,ぼんゆう,ぼんようう,平凡なこと
凡人,ぼんじん,はんじん,ぼんにん,ぼうじん,普通の人
琴線,きんせん,ことせん,きんぜん,ことぜん,感動を呼ぶ心の部分
脈絡,みゃくらく,みゃくらく,ばくらく,みょうらく,つながり
既存,きそん,がいそん,きぞん,きしょう,以前から存在すること
既出,きしゅつ,がいしゅつ,きで,きだし,すでに出たもの
一応,いちおう,いっちょう,いちよう,ひとおう,ひとまず
一括,いっかつ,ひとかつ,いちかつ,いっこう,まとめて扱うこと
受諾,じゅだく,じゅたく,うけだく,じゅらく,受け入れること
快諾,かいだく,かいらく,かいたく,けだく,気持ちよく承諾すること
承諾,しょうだく,しょうらく,じょうだく,しょうとく,同意すること
委託,いたく,いしょく,いいたく,いたっく,任せること
措置,そち,しょち,さち,そうち,必要な処置
措辞,そじ,しょじ,さじ,そうじ,言葉遣い
頻繁,ひんぱん,びんぱん,ひんばん,びんばん,たびたび起こること
頻出,ひんしゅつ,びんしゅつ,ひんで,びんで,よく現れること
未曽有,みぞう,みそうゆう,みそう,みぞゆう,今までにないこと
凡退,ぼんたい,はんたい,ぼんてい,ぼうたい,平凡なアウト
廉価,れんか,けんか,れんが,れんけ,安価なこと
廉潔,れんけつ,けんけつ,れんきつ,れんかつ,清廉なこと
寸暇,すんか,そんか,すんげ,すんが,わずかな空き時間
寸評,すんぴょう,そんぴょう,すんびょう,すんひょう,短い評価
画一,かくいつ,がいち,かいち,がかつ,一様にそろえること
画期的,かっきてき,がきてき,かくきてき,がっきてき,非常に新しいこと
貼替,はりかえ,てんかえ,ちょうかえ,はりがえ,貼り替えること
輸出,ゆしゅつ,ゆうしゅつ,しゅしゅつ,ゆで,国外へ売ること
輸入,ゆにゅう,ゆうにゅう,しゅにゅう,ゆいれ,国外から買うこと
乳離れ,ちばなれ,にゅうばなれ,ちちばなれ,にゅうりばなれ,母乳をやめること
強請る,ねだる,きょうせいする,ごうせいする,つよしる,せがむこと
相俟って,あいまって,そうまって,あいまたって,そうまたって,互いに作用して
相克,そうこく,あいこく,そうかつ,そうごく,対立すること
愛玩,あいがん,あいそん,あいこう,あいかん,かわいがること
