漢字,ただしい読み,間違った読み1,間違った読み2,間違った読み3,意味
他愛ない,たあいない,たわいない,ほかあいない,たいない,とりとめがない
代替,だいたい,だいがえ,よたい,だいたいえ,代わりにすること
続柄,つづきがら,ぞくがら,つづきへい,ぞくへい,親族関係
出生率,しゅっしょうりつ,しゅっせいりつ,しゅつしょうりつ,しゅっしょうそつ,生まれる割合
相殺,そうさい,あいさつ,そうさつ,あいさい,差し引きすること
凡例,はんれい,ぼんれい,はんらい,ぼんらい,説明の見本
依存心,いぞんしん,いそんしん,いじんしん,いぞうしん,頼る気持ち
重複,ちょうふく,じゅうふく,ちょうぶく,じゅうぶく,重なること
貼付,ちょうふ,てんぷ,はりつけ,ちょうつけ,貼り付けること
添付,てんぷ,てんふ,そうふ,てんつけ,付け加えること
早急,さっきゅう,そうきゅう,さきゅう,そうきゅ,急ぐこと
代弁,だいべん,たいべん,よべん,だいへん,代わりに話すこと
愛称,あいしょう,あいしょうう,あいせい,あいじょう,親しみのある呼び名
施行,しこう,せこう,しぎょう,せぎょう,実施すること
競売,けいばい,きょうばい,きょううり,けいうり,せり売り
応対,おうたい,おうてい,おうだい,こたいたい,応じること
応酬,おうしゅう,おうじゅう,おうとう,おうそう,やり取り
凡例集,はんれいしゅう,ぼんれいしゅう,はんらいしゅう,ぼんらいしゅう,凡例を集めたもの
受理,じゅり,じゅうり,うけり,じゅれい,受け付けること
受領,じゅりょう,じゅうりょう,うけりょう,じゅれい,受け取ること
異口同音,いくどうおん,いこうどうおん,いぐちどうおん,いくどういん,皆が同じ意見
続投,ぞくとう,つづきとう,しょくとう,ぞくなげ,引き続き担当すること
間髪,かんはつ,かんぱつ,まはつ,あいだはつ,わずかな時間
漸次,ぜんじ,ざんじ,せんじ,ぜんし,順に少しずつ
漸進,ぜんしん,ざんしん,せんしん,ぜんじん,少しずつ進むこと
折衷,せっちゅう,おりちゅう,せつちゅう,せっこう,双方を取り入れること
折檻,せっかん,おりかん,せつかん,せっけん,厳しく叱ること
月並み,つきなみ,げつなみ,つきならび,げつならみ,平凡なこと
発端,ほったん,はったん,ほつたん,はつたん,物事の始まり
発祥地,はっしょうち,ほっしょうち,はつしょうち,ほしょうち,始まりの場所
言質,げんち,ことしつ,げんしつ,ことち,証拠になる言葉
素人,しろうと,そじん,すじん,しにん,専門家でない人
玄人,くろうと,げんじん,げんにん,くろびと,専門家
相乗効果,そうじょうこうか,あいのりこうか,そうじょうこうが,そうじょうか,互いに高め合う効果
愛顧,あいこ,あいぐ,あいこう,あいご,ひいきにすること
一蹴,いっしゅう,いっそう,いっけり,いっしゅつ,簡単に退けること
一矢,いっし,いちや,いっや,ひとや,一本の矢
凡退王,ぼんたいおう,はんたいおう,ぼんていおう,ぼうたいおう,野球の記録
一喝,いっかつ,いちかつ,ひとかつ,いっこう,大声で叱ること
消耗,しょうもう,しょうこう,しょうぼう,けもう,使い減らすこと
消却,しょうきゃく,しょうしゃく,しょうけつ,けしょう,帳簿から除くこと
凡ミス,ぼんみす,はんみす,ぼうみす,ぼんめす,単純なミス
奇抜,きばつ,きぬき,きばち,きはつ,変わっていること
奇特,きとく,きどく,きとっく,きどっく,感心なこと
既得権,きとくけん,きどくけん,がいとくけん,きとっけん,既に得た権利
既成事実,きせいじじつ,がいせいじじつ,きじょうじじつ,きせじじつ,既に成立した事実
既知,きち,がいち,きじ,きし,知っていること
概念,がいねん,かいねん,がいれん,かいれん,物事の基本的な考え
概略,がいりゃく,かいりゃく,がいやく,かいやく,大まかな内容
概論,がいろん,かいろん,がいりん,かいりん,総論
脆弱,ぜいじゃく,きじゃく,ぜいよわ,ぜじゃく,もろいこと
脅かす,おびやかす,きょうかす,おどろかす,おびかす,危険を与えること
脅える,おびえる,きょうえる,おどえる,おびる,恐れること
執拗,しつよう,しゅうよう,しつおう,しゅつよう,しつこいこと
執刀,しっとう,しゅっとう,しつとう,しっとうう,手術すること
執行,しっこう,しゅうこう,しつこう,せっこう,実施すること
踏破,とうは,ふみは,とうば,ふは,歩いて制覇すること
踏査,とうさ,ふみさ,とうしゃ,ふさ,現地調査
収監,しゅうかん,しゅうけん,しゅうがん,しゅかん,刑務所に入れること
収斂,しゅうれん,しゅうせん,しゅうかん,しゅうりん,集まること
収穫,しゅうかく,しゅうがく,しゅかく,しゅうこく,取り入れ
進捗,しんちょく,しんぽ,しんとく,しんそく,進み具合
難渋,なんじゅう,なんしぶ,なんじゅ,だんじゅう,苦労すること
難解,なんかい,だんかい,なんげ,なんけ,理解しにくいこと
難読,なんどく,だんどく,なんよみ,なんとく,読みにくいこと
依然,いぜん,よりぜん,いぜんん,いさき,そのまま
依拠,いきょ,いこ,いこう,いきょう,根拠とすること
依頼心,いらいしん,いらいごころ,よりしん,いぞんしん,頼る気持ち
輪番,りんばん,わばん,りんはん,りんぼん,順番に担当
輪唱,りんしょう,わしょう,りんそう,りんじょう,順に歌うこと
把持,はじ,はもち,ばじ,はし,しっかり持つこと
把握力,はあくりょく,ばあくりょく,はわくりょく,はにぎりりょく,理解する力
偏在,へんざい,へんさい,かたよざい,へんあり,偏って存在すること
偏屈,へんくつ,へんほり,へんつつ,かたくつ,ひねくれていること
閲読,えつどく,けつどく,えらんどく,えつよみ,読むこと
閲兵,えっぺい,けっぺい,えつへい,えっへい,軍隊の視察
趣味,しゅみ,しゅうみ,しゅび,しゅうび,好み
趣意書,しゅいしょ,しゅみしょ,しゅういしょ,しゅじしょ,目的説明文
鳥獣,ちょうじゅう,とりけもの,ちょうけもの,とりじゅう,鳥と獣
俯仰,ふぎょう,ふこう,うぎょう,ふよう,見上げたり見下ろしたり
俯せる,うつぶせる,ふせる,ふかせる,うつせる,うつ伏せにする
脈拍,みゃくはく,みゃくぱく,ばくはく,みゃくひょう,脈の回数
脈診,みゃくしん,ばくしん,みょうしん,みゃくせん,脈を見る診察
廉売,れんばい,けんばい,れんうり,れんぱい,安売り
廉恥,れんち,けんち,れんじ,れんし,恥を知ること
措定,そてい,しょてい,そうてい,さだてい,仮に定めること
